# BUSCO version is: 6.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
39650at2759	Duplicated	KAM7450934.1	2150.9	1407	https://v10-1.orthodb.org/?query=39650at2759	DNA polymerase epsilon catalytic subunit
39650at2759	Duplicated	KAM7450932.1	1892.0	1015	https://v10-1.orthodb.org/?query=39650at2759	DNA polymerase epsilon catalytic subunit
83779at2759	Complete	KAM7436575.1	262.8	231	https://v10-1.orthodb.org/?query=83779at2759	Asparagine synthase
87842at2759	Complete	KAM7434776.1	627.8	643	https://v10-1.orthodb.org/?query=87842at2759	Pep3/Vps18/deep orange
97116at2759	Complete	KAM7441316.1	1298.9	956	https://v10-1.orthodb.org/?query=97116at2759	WD40/YVTN repeat-like-containing domain superfamily
100698at2759	Duplicated	KAM7447615.1	838.1	498	https://v10-1.orthodb.org/?query=100698at2759	Helicase, C-terminal
100698at2759	Duplicated	KAM7447616.1	838.0	498	https://v10-1.orthodb.org/?query=100698at2759	Helicase, C-terminal
142542at2759	Duplicated	KAM7451903.1	729.0	653	https://v10-1.orthodb.org/?query=142542at2759	Transcription initiation factor TFIID subunit 2
142542at2759	Duplicated	KAM7451902.1	713.9	614	https://v10-1.orthodb.org/?query=142542at2759	Transcription initiation factor TFIID subunit 2
156083at2759	Complete	KAM7446265.1	3605.9	1908	https://v10-1.orthodb.org/?query=156083at2759	Pre-mRNA-processing-splicing factor 8
160593at2759	Complete	KAM7445609.1	1470.1	1308	https://v10-1.orthodb.org/?query=160593at2759	Translational activator Gcn1
166920at2759	Complete	KAM7438319.1	779.5	778	https://v10-1.orthodb.org/?query=166920at2759	Condensin complex subunit 1
176625at2759	Missing
179362at2759	Complete	KAM7441352.1	701.4	938	https://v10-1.orthodb.org/?query=179362at2759	Rad50/SbcC-type AAA domain
245208at2759	Duplicated	KAM7436382.1	1547.1	845	https://v10-1.orthodb.org/?query=245208at2759	Splicing factor 3B subunit 1
245208at2759	Duplicated	KAM7436381.1	1545.9	845	https://v10-1.orthodb.org/?query=245208at2759	Splicing factor 3B subunit 1
257318at2759	Complete	KAM7442760.1	337.6	303	https://v10-1.orthodb.org/?query=257318at2759	digestive organ expansion factor homolog
261328at2759	Duplicated	KAM7437871.1	441.2	418	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261328at2759	Duplicated	KAM7428676.1	440.8	418	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261419at2759	Duplicated	KAM7433151.1	351.7	417	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
261419at2759	Duplicated	KAM7434852.1	351.5	417	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
270107at2759	Duplicated	KAM7452479.1	633.4	602	https://v10-1.orthodb.org/?query=270107at2759	GPI ethanolamine phosphate transferase 1
270107at2759	Duplicated	KAM7452481.1	587.0	574	https://v10-1.orthodb.org/?query=270107at2759	GPI ethanolamine phosphate transferase 1
271586at2759	Missing
290630at2759	Duplicated	KAM7440613.1	699.9	548	https://v10-1.orthodb.org/?query=290630at2759	WD40 repeat
290630at2759	Duplicated	KAM7440614.1	699.9	548	https://v10-1.orthodb.org/?query=290630at2759	WD40 repeat
293315at2759	Missing
296129at2759	Complete	KAM7435703.1	1108.8	697	https://v10-1.orthodb.org/?query=296129at2759	RNA cytidine acetyltransferase
299766at2759	Complete	KAM7442243.1	492.4	436	https://v10-1.orthodb.org/?query=299766at2759	DNA polymerase, Y-family, little finger domain
306227at2759	Missing
320059at2759	Duplicated	KAM7449490.1	899.9	452	https://v10-1.orthodb.org/?query=320059at2759	Radical SAM
320059at2759	Duplicated	KAM7449491.1	876.9	452	https://v10-1.orthodb.org/?query=320059at2759	Radical SAM
324863at2759	Duplicated	KAM7425738.1	690.4	568	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	KAM7431156.1	690.1	568	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
325552at2759	Complete	KAM7435622.1	480.6	377	https://v10-1.orthodb.org/?query=325552at2759	WD40 repeat
330169at2759	Duplicated	KAM7430828.1	349.0	321	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
330169at2759	Duplicated	KAM7442515.1	340.9	321	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
331411at2759	Complete	KAM7426930.1	407.5	401	https://v10-1.orthodb.org/?query=331411at2759	Tetratricopeptide-like helical domain superfamily
341721at2759	Duplicated	KAM7444885.1	330.2	376	https://v10-1.orthodb.org/?query=341721at2759	Nucleolar complex-associated protein 3
341721at2759	Duplicated	KAM7444886.1	313.7	376	https://v10-1.orthodb.org/?query=341721at2759	Nucleolar complex-associated protein 3
345441at2759	Complete	KAM7450821.1	462.4	380	https://v10-1.orthodb.org/?query=345441at2759	Phosphoacetylglucosamine mutase
355408at2759	Complete	KAM7444102.1	814.3	554	https://v10-1.orthodb.org/?query=355408at2759	Tetratricopeptide repeat-containing domain
369837at2759	Fragmented	KAM7436643.1	67.6	175	https://v10-1.orthodb.org/?query=369837at2759	Translation initiation factor eIF-2B subunit epsilon
375960at2759	Missing
383503at2759	Complete	KAM7436444.1	376.8	347	https://v10-1.orthodb.org/?query=383503at2759	Splicing factor 3A subunit 3
388820at2759	Complete	KAM7444596.1	647.3	596	https://v10-1.orthodb.org/?query=388820at2759	WD40 repeat
390348at2759	Complete	KAM7446728.1	1191.7	738	https://v10-1.orthodb.org/?query=390348at2759	Pyridoxal phosphate-dependent transferase
392369at2759	Duplicated	KAM7439596.1	386.1	346	https://v10-1.orthodb.org/?query=392369at2759	GMP synthase, C-terminal
392369at2759	Duplicated	KAM7439597.1	357.4	334	https://v10-1.orthodb.org/?query=392369at2759	GMP synthase, C-terminal
396755at2759	Fragmented	KAM7434027.1	178.3	98	https://v10-1.orthodb.org/?query=396755at2759	Tetratricopeptide repeat
418107at2759	Duplicated	KAM7438806.1	354.7	298	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
418107at2759	Duplicated	KAM7425520.1	354.6	298	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
418107at2759	Duplicated	KAM7438807.1	354.5	298	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
426305at2759	Complete	KAM7438543.1	564.2	478	https://v10-1.orthodb.org/?query=426305at2759	Sda1
450058at2759	Duplicated	KAM7434923.1	245.4	283	https://v10-1.orthodb.org/?query=450058at2759	Reduced growth phenotype protein 1
450058at2759	Duplicated	KAM7434924.1	245.1	283	https://v10-1.orthodb.org/?query=450058at2759	Reduced growth phenotype protein 1
453044at2759	Complete	KAM7451044.1	356.7	290	https://v10-1.orthodb.org/?query=453044at2759	Zinc finger, ZPR1-type
457861at2759	Complete	KAM7441029.1	104.0	141	https://v10-1.orthodb.org/?query=457861at2759	Autophagy protein 5
464990at2759	Missing
491869at2759	Duplicated	KAM7451374.1	267.6	254	https://v10-1.orthodb.org/?query=491869at2759	Protein arginine methyltransferase NDUFAF7
491869at2759	Duplicated	KAM7451375.1	236.5	233	https://v10-1.orthodb.org/?query=491869at2759	Protein arginine methyltransferase NDUFAF7
513979at2759	Complete	KAM7435072.1	186.5	225	https://v10-1.orthodb.org/?query=513979at2759	DNA polymerase alpha subunit B
543764at2759	Complete	KAM7433479.1	224.1	234	https://v10-1.orthodb.org/?query=543764at2759	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
549762at2759	Complete	KAM7429954.1	527.3	404	https://v10-1.orthodb.org/?query=549762at2759	Ubiquitin-like modifier-activating enzyme Atg7
551907at2759	Complete	KAM7445050.1	352.0	327	https://v10-1.orthodb.org/?query=551907at2759	CCAAT-binding factor
570797at2759	Complete	KAM7445206.1	587.2	490	https://v10-1.orthodb.org/?query=570797at2759	Winged helix-like DNA-binding domain superfamily
582756at2759	Missing
598949at2759	Complete	KAM7444286.1	474.8	384	https://v10-1.orthodb.org/?query=598949at2759	AP-3 complex subunit delta
604979at2759	Complete	KAM7436135.1	457.0	293	https://v10-1.orthodb.org/?query=604979at2759	WD40-repeat-containing domain
621827at2759	Complete	KAM7449591.1	247.0	240	https://v10-1.orthodb.org/?query=621827at2759	WD40-repeat-containing domain
625387at2759	Missing
655400at2759	Complete	KAM7448919.1	302.4	280	https://v10-1.orthodb.org/?query=655400at2759	Ubiquinone biosynthesis monooxygenase COQ6
664730at2759	Complete	KAM7432188.1	231.0	324	https://v10-1.orthodb.org/?query=664730at2759	Pyridoxal phosphate-dependent transferase
671536at2759	Complete	KAM7432861.1	521.4	363	https://v10-1.orthodb.org/?query=671536at2759	Tetratricopeptide repeat
671846at2759	Complete	KAM7445478.1	297.7	426	https://v10-1.orthodb.org/?query=671846at2759	Nuclear pore protein 84/107
673132at2759	Missing
674160at2759	Missing
674169at2759	Missing
679187at2759	Complete	KAM7434060.1	476.4	419	https://v10-1.orthodb.org/?query=679187at2759	Gamma-tubulin complex component
679771at2759	Complete	KAM7435704.1	130.6	171	https://v10-1.orthodb.org/?query=679771at2759	Eukaryotic translation initiation factor 3 subunit M
687505at2759	Complete	KAM7446631.1	211.5	214	https://v10-1.orthodb.org/?query=687505at2759	DnaJ domain
692986at2759	Complete	KAM7435976.1	352.4	385	https://v10-1.orthodb.org/?query=692986at2759	Conserved oligomeric Golgi complex, subunit 3
708105at2759	Complete	KAM7448031.1	178.5	207	https://v10-1.orthodb.org/?query=708105at2759	Histone acetyltransferase type B catalytic subunit
719531at2759	Complete	KAM7437308.1	429.3	284	https://v10-1.orthodb.org/?query=719531at2759	PIGA, GPI anchor biosynthesis
720340at2759	Complete	KAM7429176.1	195.7	224	https://v10-1.orthodb.org/?query=720340at2759	Cell division control protein 73, C-terminal
721605at2759	Duplicated	KAM7446248.1	324.4	243	https://v10-1.orthodb.org/?query=721605at2759	NAD(P)-binding domain
