# BUSCO version is: 6.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
39650at2759	Complete	Scaffold0008	365099	423619	+	2196.4	1485	https://v10-1.orthodb.org/?query=39650at2759	DNA polymerase epsilon catalytic subunit
83779at2759	Complete	Scaffold0229	533475	567823	+	260.4	232	https://v10-1.orthodb.org/?query=83779at2759	Asparagine synthase
87842at2759	Complete	Scaffold0288	511516	549744	+	598.7	610	https://v10-1.orthodb.org/?query=87842at2759	Pep3/Vps18/deep orange
97116at2759	Complete	Scaffold0125	577712	549745	-	1298.9	956	https://v10-1.orthodb.org/?query=97116at2759	WD40/YVTN repeat-like-containing domain superfamily
100698at2759	Complete	Scaffold0035	159272	141768	-	853.5	498	https://v10-1.orthodb.org/?query=100698at2759	Helicase, C-terminal
142542at2759	Complete	Scaffold0003	1014994	1036611	+	725.7	650	https://v10-1.orthodb.org/?query=142542at2759	Transcription initiation factor TFIID subunit 2
156083at2759	Complete	Scaffold0050	177591	214579	+	3721.8	1938	https://v10-1.orthodb.org/?query=156083at2759	Pre-mRNA-processing-splicing factor 8
160593at2759	Complete	Scaffold0058	231893	170148	-	1537.6	1308	https://v10-1.orthodb.org/?query=160593at2759	Translational activator Gcn1
166920at2759	Complete	Scaffold0186	205132	241673	+	779.5	778	https://v10-1.orthodb.org/?query=166920at2759	Condensin complex subunit 1
176625at2759	Missing
179362at2759	Complete	Scaffold0124	345669	298181	-	701.4	938	https://v10-1.orthodb.org/?query=179362at2759	Rad50/SbcC-type AAA domain
245208at2759	Complete	Scaffold0233	491917	452054	-	1553.5	845	https://v10-1.orthodb.org/?query=245208at2759	Splicing factor 3B subunit 1
257318at2759	Complete	Scaffold0095	969366	961796	-	340.3	314	https://v10-1.orthodb.org/?query=257318at2759	digestive organ expansion factor homolog
261328at2759	Duplicated	Scaffold0198	618001	600346	-	437.7	418	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261328at2759	Duplicated	Scaffold0642	20319	3465	-	437.2	418	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261419at2759	Duplicated	Scaffold0346	173584	127717	-	351.2	434	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
261419at2759	Duplicated	Scaffold0285	390601	457802	+	351.5	417	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
270107at2759	Complete	Scaffold0001	2640913	2648860	+	633.4	602	https://v10-1.orthodb.org/?query=270107at2759	GPI ethanolamine phosphate transferase 1
271586at2759	Missing
290630at2759	Complete	Scaffold0139	969217	914431	-	700.1	548	https://v10-1.orthodb.org/?query=290630at2759	WD40 repeat
293315at2759	Complete	Scaffold0093	1239407	1279301	+	614.7	623	https://v10-1.orthodb.org/?query=293315at2759	DNA polymerase
296129at2759	Complete	Scaffold0256	527467	460714	-	1110.9	698	https://v10-1.orthodb.org/?query=296129at2759	RNA cytidine acetyltransferase
299766at2759	Complete	Scaffold0106	929561	893815	-	496.3	436	https://v10-1.orthodb.org/?query=299766at2759	DNA polymerase, Y-family, little finger domain
306227at2759	Missing
320059at2759	Complete	Scaffold0018	672881	690823	+	894.7	452	https://v10-1.orthodb.org/?query=320059at2759	Radical SAM
324863at2759	Duplicated	Scaffold0072	1439116	1463911	+	667.4	569	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold1106	59319	80939	+	690.2	568	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold0447	161368	181834	+	689.9	568	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold0447	395991	415815	+	686.6	568	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
325552at2759	Complete	Scaffold0260	404875	435631	+	480.2	377	https://v10-1.orthodb.org/?query=325552at2759	WD40 repeat
330169at2759	Duplicated	Scaffold0468	249455	239029	-	349.2	321	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
330169at2759	Duplicated	Scaffold0099	134652	121573	-	341.0	321	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
331411at2759	Complete	Scaffold0858	171905	141797	-	407.5	401	https://v10-1.orthodb.org/?query=331411at2759	Tetratricopeptide-like helical domain superfamily
341721at2759	Complete	Scaffold0069	478334	461430	-	334.5	376	https://v10-1.orthodb.org/?query=341721at2759	Nucleolar complex-associated protein 3
345441at2759	Complete	Scaffold0009	1630421	1619709	-	462.5	380	https://v10-1.orthodb.org/?query=345441at2759	Phosphoacetylglucosamine mutase
355408at2759	Complete	Scaffold0080	972953	984727	+	814.3	554	https://v10-1.orthodb.org/?query=355408at2759	Tetratricopeptide repeat-containing domain
369837at2759	Missing
375960at2759	Missing
383503at2759	Complete	Scaffold0232	702350	748890	+	314.5	320	https://v10-1.orthodb.org/?query=383503at2759	Splicing factor 3A subunit 3
388820at2759	Complete	Scaffold0072	62946	74940	+	594.5	596	https://v10-1.orthodb.org/?query=388820at2759	WD40 repeat
390348at2759	Complete	Scaffold0045	703048	728785	+	1192.1	738	https://v10-1.orthodb.org/?query=390348at2759	Pyridoxal phosphate-dependent transferase
392369at2759	Complete	Scaffold0157	521615	536497	+	386.1	346	https://v10-1.orthodb.org/?query=392369at2759	GMP synthase, C-terminal
396755at2759	Missing
418107at2759	Duplicated	Scaffold0173	525	10787	+	354.7	298	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
418107at2759	Duplicated	Scaffold1178	2238	13177	+	354.5	298	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
426305at2759	Complete	Scaffold0182	596302	525242	-	563.3	478	https://v10-1.orthodb.org/?query=426305at2759	Sda1
450058at2759	Complete	Scaffold0283	569841	563273	-	245.3	283	https://v10-1.orthodb.org/?query=450058at2759	Reduced growth phenotype protein 1
453044at2759	Complete	Scaffold0008	2403905	2359480	-	358.9	295	https://v10-1.orthodb.org/?query=453044at2759	Zinc finger, ZPR1-type
457861at2759	Complete	Scaffold0130	601748	587649	-	105.0	141	https://v10-1.orthodb.org/?query=457861at2759	Autophagy protein 5
464990at2759	Missing
491869at2759	Complete	Scaffold0006	1508569	1526168	+	272.8	254	https://v10-1.orthodb.org/?query=491869at2759	Protein arginine methyltransferase NDUFAF7
513979at2759	Complete	Scaffold0278	334217	299803	-	189.1	225	https://v10-1.orthodb.org/?query=513979at2759	DNA polymerase alpha subunit B
